Season,Player,Team,Apps,Mins,Goals,Assists,Yel,Red,Shots per Game,Pass Success%,Aerials Won,MotM,Avg. Rating
2013/2014,Andres Iniesta,Barcelona,35,2493,3,7,0,0,1.2,90.7,0.1,1,7.37
2012/2013,Andres Iniesta,Barcelona,31,2105,3,16,4,0,1.1,90.5,0,3,7.41
2011/2012,Andres Iniesta,Barcelona,27,1877,2,9,3,0,1.8,89.7,0.1,2,7.43
2010/2011,Andres Iniesta,Barcelona,34,2810,8,3,1,0,1.3,89.6,0.1,2,7.72
,,,,,,,,,,,,,
2014/2015,Francesco Totti,AS Roma,9,657,2,4,4,0,2.4,78.6,0.4,0,7.12
2013/2014,Francesco Totti,AS Roma,26,1690,8,10,3,0,2.5,78.5,0.5,3,7.33
2012/2013,Francesco Totti,AS Roma,34,2839,12,4,7,1,3.6,74.2,0.5,5,7.58
2011/2012,Francesco Totti,AS Roma,27,2219,8,7,7,0,3.7,78.1,0.1,2,7.34
2010/2011,Francesco Totti,AS Roma,32,2445,15,8,6,1,3.4,72.4,0.1,5,7.36
,,,,,,,,,,,,,
2014/2015,Andrea Pirlo,Juventus,6,486,2,1,0,0,1.3,87.3,0.7,1,7.38
2013/2014,Andrea Pirlo,Juventus,30,2475,4,6,4,0,1.6,88.5,0.2,3,7.56
2012/2013,Andrea Pirlo,Juventus,32,2859,5,3,8,0,2.1,87.2,0.4,6,7.8
2011/2012,Andrea Pirlo,Juventus,37,3320,3,13,6,0,2.1,86.9,0.2,6,7.88
2010/2011,Andrea Pirlo,AC Milan,17,1141,1,3,3,0,0.8,86.4,0.1,1,7.06
,,,,,,,,,,,,,
2014/2015,Arturo Vidal,Juventus,10,626,4,1,4,0,1.8,85,0.7,2,7.22
2013/2014,Arturo Vidal,Juventus,32,2451,11,5,8,0,1.8,83.7,1.3,5,7.45
2012/2013,Arturo Vidal,Juventus,31,2592,10,1,11,0,2,86.9,1.4,6,7.77
2011/2012,Arturo Vidal,Juventus,33,2648,7,3,12,1,2.3,85.2,1.3,6,7.68
2010/2011,Arturo Vidal,Bayer Leverkusen,33,2719,10,11,4,1,1.6,83.6,0.8,10,7.76
,,,,,,,,,,,,,
2014/2015,Daniele De Rossi,AS Roma,9,731,1,0,2,0,0.6,90,1.3,0,7.27
2013/2014,Daniele De Rossi,AS Roma,32,2742,1,1,4,1,1,89.3,1.8,2,7.38
2012/2013,Daniele De Rossi,AS Roma,25,1804,0,2,6,1,0.9,84.2,1.1,0,6.98
2011/2012,Daniele De Rossi,AS Roma,32,2836,4,1,9,0,0.8,87.9,0.9,3,7.31
2010/2011,Daniele De Rossi,AS Roma,28,2429,2,3,7,2,1.4,83.4,0.8,1,7.1
,,,,,,,,,,,,,
2014/2015,Edin Dzeko,Manchester City,10,507,2,1,0,0,2.2,80.5,1.8,1,6.67
